intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,lineage
5634000,0.0554642199667254,0.9172907847606643,0.0554642199667254,0.0554642199667254,,,,"GCF_010669205.1 Blautia producta ATCC 27340 = DSM 2950 strain=JCM 1471, ASM1066920v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,698994c96972a3ff39d5abbef995fbd9,0.9172907847606643,5634000,0,95945000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia coccoides
5510000,0.05424349521062424,0.9960231381055676,0.05424349521062424,0.05424349521062424,,,,"GCA_000433395.1 Clostridium hathewayi CAG:224, MGS224",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,e1681d164e1343664cc157db62bef9ea,0.9960231381055676,5510000,1,90435000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella sp005845265
4999000,0.04921292786894929,0.9968095712861416,0.04921292786894929,0.04921292786894929,,,,"GCF_001638005.1 Escherichia coli strain=KO198B, ASM163800v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,6d4749c3c73eb969380d102078266c27,0.9968095712861416,4999000,2,85436000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli
4586000,0.04514712686677364,0.8364941999631744,0.04472381102393211,0.04472381102393211,,,,"GCF_001405335.1 Enterocloster clostridioformis strain=2789STDY5834865, 13470_2#84",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,fc9e495736d6619bad52fa69cede71dc,0.8444117105505432,4543000,3,80893000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis
4224000,0.041583398143317025,0.6618750998243093,0.04079583378454208,0.04079583378454208,,,,"GCF_011317135.1 Enterocloster aldensis strain=MSK.1.13, ASM1131713v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,c7c5653ed2c30e9772abadf178a9368c,0.6746526114039291,4144000,4,76749000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster aldenensis
4137000,0.04072692190314927,0.8799568965517242,0.04019531596097618,0.04019531596097618,,,,"GCF_000189615.1 [Clostridium] symbiosum WAL-14673 strain=WAL-14673, Clos_symb_WAL_14673_V2",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,d7455b0f77603e9dec9b05a01f5fe901,0.8915948275862069,4083000,5,72666000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum
3525000,0.034702054558520955,0.8727678571428571,0.03464298723161283,0.03464298723161283,,,,"GCF_000183585.1 Clostridium sp. HGF2 strain=HGF2, ASM18358v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,4d472ef2ba3f0da01531ada29e8fe1e5,0.8742559523809523,3519000,6,69147000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum
3198000,0.03148288524202837,0.9928571428571429,0.03147304068754368,0.03147304068754368,,,,"GCF_001059475.1 Bifidobacterium scardovii strain=981_BLON, ASM105947v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,559aceb48c3438540e7dd35c9a7be51d,0.993167701863354,3197000,7,65950000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii
3022000,0.029750243652723496,0.9821254468638284,0.029750243652723496,0.029750243652723496,,,,"GCA_000433055.1 Coprobacillus sp. CAG:183, MGS183",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,c869dedd92898662540b72eea7c61698,0.9821254468638284,3022000,8,62928000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum
2868000,0.028234182262081728,0.8951814768460575,0.02816527038068892,0.02816527038068892,,,,"GCF_004343035.1 Longibaculum muris strain=DSM 29487, ASM434303v1",/group/ctbrowngrp/gtdb/databases/ctb/gtdb-rs202.genomic.k31.sbt.zip,f78b300954e755242df91ac808a59a00,0.8973717146433041,2861000,9,60067000,,p8808mo11-known,18f98a5a,101579000,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Longibaculum;s__Longibaculum muris
